Timestamp,Coder initials:,Article ID:,What date was the article received by the journal?,Does the article state whether or not the data are available?,"According to the statement, how are the data accessible?",What reasons are provided?,"For reasons selected above, please provide additional details here:",What does the link lead to?,What is the file format?,Were you able to successfully download and open the data file(s)?,Does all of the data needed for evaluation and reproduction of the research appear to be available after brief review?,Are the data understandable after brief review?,Are analysis scripts also available to download?,Is a license provided with the data?,Why could you not access the data file?
3/14/17 10:48,MK,DvcDF,6/30/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/25/17 4:17,GB,gdfIA,6/30/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,".dat, .xls or .xlsx (Excel), .sav or .sps (SPSS)",Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/25/17 14:57,GB,odQVt,7/1/15,No - there is no data availability statement,,,,,,,,,,,
3/20/17 8:49,GB,OvGDB,7/1/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,".xls or .xlsx (Excel), .doc or .docx (Microsoft Word)",Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/16/17 9:25,MK,UPKMX,7/2/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.txt,Yes,It is unclear if all of the data are available,Partly,No,"No, a license is not provided",
3/28/17 5:58,GB,NpnII,7/4/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,A third party repository,".txt, .csv",Yes,"Yes, all of the data appear to be available",Yes,Yes,"No, a license is not provided",
3/25/17 4:20,GB,JVfZf,7/6/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,".csv, .doc or .docx (Microsoft Word)",Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
5/17/17 17:22,MK,WGFrL,7/6/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/15/17 9:36,MK,Tperm,7/7/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.doc or .docx (Microsoft Word),Yes,"No, there are no data in the file",No,No,"No, a license is not provided",
4/7/17 17:47,GB,vuHLF,7/8/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.txt,Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
4/27/17 10:06,EC,TbyyQ,7/10/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/20/17 9:33,MK,Wzqlp,7/10/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.csv,Yes,"Yes, all of the data appear to be available",Yes,No,"No, a license is not provided",
3/17/17 2:56,GB,HFVKE,7/14/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,A third party repository,.csv,Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/16/17 8:56,MK,RPYAj,7/15/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.txt,Yes,"Yes, all of the data appear to be available",Yes,No,"No, a license is not provided",
3/23/17 8:34,EC,DkgkC,7/17/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"No, only some of the data appear to be available",Partly,No,"No, a license is not provided",
3/9/17 16:16,EY,IRLQJ,7/20/15,No - there is no data availability statement,,,,,,,,,,,
3/23/17 17:31,GB,oVPcU,7/26/15,No - there is no data availability statement,,,,,,,,,,,
3/20/17 10:09,EC,DjNOT,7/31/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
4/7/17 16:13,GB,BaDuq,8/3/15,No - there is no data availability statement,,,,,,,,,,,
3/20/17 5:59,TH,ZzoLZ,8/6/15,Yes - the statement says that the data (or some of the data) are available,Other: data in brief article,,,Other: data in brief article,".xls or .xlsx (Excel), .doc or .docx (Microsoft Word)",Yes,"Yes, all of the data appear to be available",Yes,No,"No, a license is not provided",
4/12/17 15:14,EY,xrpoQ,8/7/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,A third party repository,.dat,Yes,"Yes, all of the data appear to be available",Yes,No,"No, a license is not provided",
5/17/17 17:15,MK,qfOCR,8/10/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/25/17 4:11,GB,EHntj,8/11/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/1/17 17:24,TH,TvdWP,8/12/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.txt,Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
5/11/17 15:00,MK,rggwx,8/13/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.csv,Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/19/17 13:05,EC,XRMQZ,8/13/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/1/17 17:19,TH,cfkQy,8/17/15,No - there is no data availability statement,,,,,,,,,,,
3/23/17 8:36,EC,tWMkV,8/17/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
5/10/17 12:49,MK,DfRWO,8/18/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/15/17 8:56,MK,JcuWB,8/18/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,".xls or .xlsx (Excel), .doc or .docx (Microsoft Word)",Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
5/10/17 12:29,MK,UuxOX,8/18/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.sav or .sps (SPSS),Yes,"Yes, all of the data appear to be available",Yes,No,"No, a license is not provided",
3/14/17 10:40,MK,UnOEK,8/20/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,".xls or .xlsx (Excel), PDF - data dictionary",Yes,"Yes, all of the data appear to be available",Partly,No,"Yes, it is a CC-BY license",
